"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9600,"Atl@TB 08:25PM ET",20.613,"Atl"
"WR","Antonio Brown",8900,"Pit@Bal 01:00PM ET",21.157,"Pit"
"WR","Odell Beckham Jr.",8800,"Phi@NYG 01:00PM ET",18.000,"NYG"
"WR","Mike Evans",8500,"Atl@TB 08:25PM ET",20.643,"TB"
"RB","Ezekiel Elliott",7900,"Dal@Cle 01:00PM ET",21.557,"Dal"
"QB","Aaron Rodgers",7800,"Ind@GB 04:25PM ET",23.326,"GB"
"WR","Jordy Nelson",7800,"Ind@GB 04:25PM ET",15.786,"GB"
"RB","Le'Veon Bell",7700,"Pit@Bal 01:00PM ET",23.475,"Pit"
"WR","Amari Cooper",7700,"Den@Oak 08:30PM ET",19.838,"Oak"
"WR","T.Y. Hilton",7600,"Ind@GB 04:25PM ET",18.738,"Ind"
"RB","DeMarco Murray",7600,"Ten@SD 04:25PM ET",22.788,"Ten"
"WR","Brandin Cooks",7500,"NO@SF 04:05PM ET",18.129,"NO"
"WR","Dez Bryant",7400,"Dal@Cle 01:00PM ET",14.825,"Dal"
"WR","Brandon Marshall",7300,"NYJ@Mia 01:00PM ET",13.250,"NYJ"
"RB","Spencer Ware",7200,"Jax@KC 01:00PM ET",17.200,"KC"
"QB","Drew Brees",7200,"NO@SF 04:05PM ET",25.677,"NO"
"QB","Matt Ryan",7100,"Atl@TB 08:25PM ET",24.918,"Atl"
"WR","Jarvis Landry",7100,"NYJ@Mia 01:00PM ET",16.857,"Mia"
"QB","Cam Newton",7000,"Car@LA 04:05PM ET",22.070,"Car"
"WR","Allen Robinson",6900,"Jax@KC 01:00PM ET",12.371,"Jax"
"WR","Kelvin Benjamin",6800,"Car@LA 04:05PM ET",14.957,"Car"
"RB","Devonta Freeman",6700,"Atl@TB 08:25PM ET",16.563,"Atl"
"QB","Andrew Luck",6700,"Ind@GB 04:25PM ET",23.533,"Ind"
"RB","Christine Michael",6700,"Buf@Sea 08:30PM ET",15.829,"Sea"
"QB","Ben Roethlisberger",6600,"Pit@Bal 01:00PM ET",23.033,"Pit"
"WR","Randall Cobb",6600,"Ind@GB 04:25PM ET",16.017,"GB"
"RB","Matt Forte",6500,"NYJ@Mia 01:00PM ET",17.188,"NYJ"
"QB","Philip Rivers",6500,"Ten@SD 04:25PM ET",19.413,"SD"
"RB","Jacquizz Rodgers",6400,"Atl@TB 08:25PM ET",11.017,"TB"
"RB","Devontae Booker",6400,"Den@Oak 08:30PM ET",7.963,"Den"
"WR","Michael Crabtree",6400,"Den@Oak 08:30PM ET",18.488,"Oak"
"QB","Russell Wilson",6400,"Buf@Sea 08:30PM ET",13.969,"Sea"
"RB","Melvin Gordon",6300,"Ten@SD 04:25PM ET",20.888,"SD"
"QB","Derek Carr",6300,"Den@Oak 08:30PM ET",22.118,"Oak"
"WR","Emmanuel Sanders",6300,"Den@Oak 08:30PM ET",15.213,"Den"
"TE","Greg Olsen",6200,"Car@LA 04:05PM ET",17.443,"Car"
"RB","LeSean McCoy",6200,"Buf@Sea 08:30PM ET",20.071,"Buf"
"WR","Doug Baldwin",6200,"Buf@Sea 08:30PM ET",14.386,"Sea"
"QB","Jameis Winston",6100,"Atl@TB 08:25PM ET",19.363,"TB"
"QB","Dak Prescott",6100,"Dal@Cle 01:00PM ET",19.631,"Dal"
"WR","Terrelle Pryor Sr.",6100,"Dal@Cle 01:00PM ET",16.243,"Cle"
"RB","Carlos Hyde",6100,"NO@SF 04:05PM ET",17.083,"SF"
"RB","Doug Martin",6000,"Atl@TB 08:25PM ET",8.450,"TB"
"RB","Jay Ajayi",6000,"NYJ@Mia 01:00PM ET",16.900,"Mia"
